Lead,Basin,Historical_AUC,Historical_local_ocean_pattern_error,Target_AUC,Target_local_ocean_pattern_error,Local_share,Local_ocean_pattern_error_increase,Total_skill_loss
1,Indian Ocean,0.7683528591812613,0.5816437726219496,0.7620740902822626,0.5946950986981392,0.5792524244460346,0.0130513260761896,0.0062787688989986
3,Indian Ocean,0.703306082465671,0.6936907758936286,0.6848315796308327,0.7232643111298482,0.5792524244460346,0.0295735352362196,0.0184745028348382
6,Indian Ocean,0.6844023666618422,0.7150382213294506,0.6116526347948075,0.8392221569083631,0.5792524244460346,0.1241839355789125,0.0727497318670347
9,Indian Ocean,0.6270150945023789,0.8101397167580824,0.5707606177523313,0.9123116945847868,0.5792524244460346,0.1021719778267045,0.0562544767500475
1,North Atlantic,0.7666213425017133,0.5250023442010084,0.7171886107375874,0.6968453217608233,0.5600817821547758,0.1718429775598148,0.0494327317641258
3,North Atlantic,0.7231384491720017,0.6129176720666388,0.6628030365308952,0.8231158517301083,0.5600817821547758,0.2101981796634694,0.0603354126411064
6,North Atlantic,0.6922922841935383,0.6542428823498387,0.6292434506095659,0.9280931445246096,0.5600817821547758,0.2738502621747709,0.0630488335839724
9,North Atlantic,0.6343373114843462,0.8005797226214781,0.5708268165633275,0.9892526312420764,0.5600817821547758,0.1886729086205983,0.0635104949210187
1,North Pacific,0.8735458945363038,0.3228061099847158,0.7260163508613492,0.6466069382925828,0.525915410050999,0.3238008283078669,0.1475295436749546
3,North Pacific,0.8567840351807825,0.3633217674990495,0.6623375303276402,0.7307116600374381,0.525915410050999,0.3673898925383886,0.1944465048531423
6,North Pacific,0.8387205230928976,0.385926359022657,0.6147955482129369,0.7973074613837525,0.525915410050999,0.4113811023610955,0.2239249748799606
9,North Pacific,0.8159829155883186,0.4794281876335541,0.572251723504691,0.8642248980080088,0.525915410050999,0.3847967103744547,0.2437311920836276
1,South Atlantic,0.695470313405609,0.5699437434474627,0.7171296117067719,0.5616550122698147,0.6231632363433772,-0.0082887311776479,-0.0216592983011628
3,South Atlantic,0.6343086552716126,0.673904764233157,0.6460572553462803,0.6800350192934275,0.6231632363433772,0.0061302550602704,-0.0117486000746677
6,South Atlantic,0.6034196818456418,0.7315859923837706,0.6016521475586752,0.7040560021996498,0.6231632363433772,-0.0275299901841208,0.0017675342869665
9,South Atlantic,0.5302100391774313,0.8145781850907952,0.643157265603081,0.6642191422482331,0.6231632363433772,-0.150359042842562,-0.1129472264256497
1,South Pacific,0.9003647365180543,0.2179466461141904,0.8260635412805996,0.3512672136227289,0.6302828771679735,0.1333205675085385,0.0743011952374547
3,South Pacific,0.8758364588434806,0.2869360297918319,0.7622973135188897,0.4518098135789236,0.6302828771679735,0.1648737837870916,0.1135391453245908
6,South Pacific,0.850007201977717,0.3451583820084731,0.730082510373319,0.4965150604645411,0.6302828771679735,0.1513566784560679,0.119924691604398
9,South Pacific,0.824828504128581,0.4198593447605769,0.6106092244811073,0.7007679560532172,0.6302828771679735,0.2809086112926403,0.2142192796474736
1,Tropical Atlantic,0.7083404986794687,0.7844220851548016,0.7036553174263315,0.78440106427297,0.6708542968317744,-2.102088183164597e-05,0.0046851812531372
3,Tropical Atlantic,0.6589148149589947,0.8646516286535189,0.4862044847211592,0.8527780128642917,0.6708542968317744,-0.0118736157892271,0.1727103302378355
6,Tropical Atlantic,0.6332428523523395,0.9060847779619507,0.3291807715306663,0.9204406190353136,0.6708542968317744,0.0143558410733627,0.3040620808216731
9,Tropical Atlantic,0.6121413562404241,0.9354540728187808,0.2451172274147362,1.0349946388353903,0.6708542968317744,0.0995405660166094,0.3670241288256878
